USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE
774,276,1716414080,click
888,87,1718122221,click
745,479,1712514792,click
840,2,1708518987,click
259,152,1717664859,click
942,152,1714412132,purchase
256,227,1714196697,click
662,79,1717764107,click
9,187,1720179630,click
450,359,1717707926,click
419,286,1708594636,purchase
453,85,1707352067,click
921,166,1720813955,purchase
6,140,1719320784,click
781,353,1715362134,purchase
551,195,1708258427,click
415,145,1718043373,click
330,444,1714858016,click
940,304,1716447621,click
887,129,1711946671,click
569,297,1714028211,click
989,418,1716819383,purchase
34,453,1718950675,click
65,85,1706606272,click
687,411,1716335704,click
952,176,1717668443,click
111,228,1716024621,click
412,250,1713846025,click
776,357,1717360892,click
112,414,1714749487,click
372,117,1707845134,click
284,389,1718767437,click
744,105,1708093614,click
169,37,1717298707,click
821,204,1710191016,click
755,484,1711174508,click
83,1,1720763016,click
193,398,1711753928,click
512,284,1707515143,click
726,302,1710859519,click
490,370,1709485888,click
633,95,1708247085,click
358,231,1710809766,purchase
585,301,1718490241,click
418,78,1715798180,purchase
915,349,1716492504,click
566,99,1721443288,click
762,481,1709263427,purchase
23,451,1713309957,click
592,137,1715176913,purchase
175,263,1718238776,purchase
730,334,1715515915,click
52,46,1716687656,purchase
354,70,1717666681,click
77,385,1707876972,click
500,390,1704108716,click
399,60,1713810256,click
584,392,1720671608,purchase
437,88,1720674867,purchase
829,498,1718692080,click
453,497,1705763131,click
678,414,1705831856,click
715,478,1711461234,click
25,308,1720831982,purchase
453,130,1714277250,click
34,53,1707355508,click
350,124,1715680848,click
973,11,1705907496,purchase
192,268,1713009130,click
200,43,1709976235,click
842,342,1714506107,click
531,106,1715040231,click
89,286,1720310175,click
600,29,1706799270,click
863,131,1704633661,click
307,436,1704451495,click
408,170,1718472487,click
529,245,1706059366,click
105,70,1718341696,purchase
238,59,1718687763,purchase
872,98,1706636398,click
64,58,1706086022,purchase
353,156,1705461209,click
422,381,1714041010,click
700,42,1715426987,click
619,256,1717149699,purchase
317,274,1707996851,click
464,191,1711826466,click
147,180,1712049639,click
596,345,1710038663,click
321,163,1713521253,click
340,427,1721257325,click
524,474,1720946246,click
917,141,1710854888,click
294,421,1713920676,purchase
963,393,1710994879,click
225,202,1716948356,purchase
189,227,1720375889,click
16,393,1705701584,click
157,13,1705042981,click
693,463,1713194574,click
458,76,1714828546,purchase
983,261,1718848094,click
747,39,1709186252,click
225,426,1715757331,purchase
519,34,1704836055,purchase
460,164,1706922583,click
441,131,1715585950,click
556,238,1704689522,click
724,293,1704506569,click
249,162,1720194234,click
641,4,1706269991,click
162,320,1715676065,click
166,453,1718547623,click
283,228,1721184373,purchase
700,327,1704187670,click
474,406,1709337835,click
865,191,1718288199,click
669,71,1715842733,click
159,498,1709105661,purchase
822,95,1715959361,purchase
257,293,1710568262,click
810,421,1710490195,click
466,323,1719275661,click
863,269,1720309361,click
971,436,1714262404,purchase
235,372,1708644257,click
162,386,1713753270,click
381,96,1716977749,click
8,87,1704859401,click
979,191,1710183558,purchase
597,264,1705363603,click
158,130,1707355673,click
626,179,1714850805,click
861,210,1718765813,click
913,402,1720335074,click
702,57,1719152452,click
313,45,1705408427,click
571,481,1710044881,click
474,488,1711201469,click
236,48,1717167444,click
641,387,1719020994,click
179,82,1705642810,click
640,205,1713756219,click
821,374,1704710926,click
754,301,1713162165,click
214,333,1721250152,purchase
672,496,1715978772,click
607,149,1720883991,click
376,204,1706165552,click
458,286,1712230132,click
745,41,1720931693,click
780,146,1712154335,click
734,88,1714566351,click
805,42,1715659026,click
724,292,1708828151,click
78,476,1721153325,click
339,6,1716123787,click
921,198,1721030789,click
420,165,1710535720,click
138,417,1713627087,click
29,158,1707499660,click
642,53,1704176144,click
702,212,1716671839,purchase
194,232,1708459637,click
85,397,1704997239,click
428,236,1721204345,click
44,86,1704208560,click
534,75,1719962728,click
536,385,1719377730,click
354,49,1720468276,purchase
659,5,1713638452,click
345,310,1709476895,purchase
320,317,1708234849,purchase
240,351,1719215549,click
916,351,1705109817,click
872,296,1714947778,click
869,226,1720211036,click
548,478,1720288179,click
989,450,1719093175,click
418,54,1720274251,click
970,139,1707409971,click
334,35,1711338467,click
839,32,1719606231,click
780,420,1709481872,click
21,10,1717094667,click
794,164,1711657352,click
177,89,1717069644,purchase
511,107,1719809464,purchase
396,133,1711671669,purchase
412,328,1705693563,click
142,249,1706613138,click
556,278,1706230066,click
43,128,1714176369,click
459,255,1709328974,click
139,250,1704976540,click
269,172,1712159711,purchase
285,483,1713884954,click
948,374,1707788316,click
327,400,1708624238,purchase
327,430,1719953050,purchase
656,336,1708001438,purchase
827,102,1711507980,click
87,36,1721520342,purchase
220,475,1720764382,click
610,362,1714340498,click
654,377,1708979378,click
691,367,1715900824,click
190,273,1711157086,click
57,174,1715784660,click
752,483,1704929891,purchase
454,130,1720374836,click
177,113,1708040919,click
287,97,1710835504,click
336,184,1717943126,click
157,431,1717635342,click
950,311,1720154633,click
699,435,1710840246,click
981,35,1710483146,click
206,476,1717191093,click
267,422,1705448690,click
593,142,1705056574,click
475,357,1716089331,click
99,461,1713217758,click
316,30,1720870567,click
852,69,1716173231,click
824,428,1706164520,purchase
688,284,1712210365,click
781,227,1720944762,purchase
923,148,1714940551,click
746,336,1711205493,click
370,138,1720517303,purchase
204,335,1715311112,click
146,270,1710040026,purchase
440,45,1719105783,click
292,480,1706777838,click
659,40,1720574492,purchase
379,85,1718946859,click
982,277,1719637709,click
194,40,1711148043,click
618,434,1709802363,click
650,7,1721364461,click
485,459,1720887963,click
997,203,1717566573,purchase
632,365,1710515918,click
326,233,1716899671,click
424,62,1713839068,click
576,360,1716207692,purchase
222,98,1705184477,click
605,60,1720116151,click
429,486,1705925228,click
57,350,1705826966,click
703,358,1712601783,click
270,151,1704114645,purchase
423,67,1717729837,purchase
354,497,1720182897,purchase
183,457,1718082178,click
346,90,1720739036,purchase
364,10,1713049052,purchase
327,198,1714737229,click
895,267,1716830885,click
82,412,1719618990,purchase
440,107,1705870549,click
203,404,1712822057,click
51,13,1716830867,click
928,332,1706543886,click
182,484,1720531216,click
244,12,1715083629,click
640,237,1721033810,click
913,147,1719076428,click
45,364,1716581374,purchase
412,242,1710972665,click
286,123,1706207058,click
551,482,1707183810,click
829,409,1706474698,click
658,349,1719445943,purchase
367,219,1720385473,click
279,100,1712485229,purchase
916,168,1708261824,click
723,75,1709371400,click
889,305,1708931140,purchase
864,466,1718561819,click
109,337,1716247106,click
79,470,1717886994,click
825,121,1718549517,purchase
210,187,1708311987,purchase
261,211,1712201701,click
308,60,1716386190,click
355,188,1706141607,purchase
142,149,1706746546,purchase
180,382,1710771843,click
888,455,1721325763,click
181,12,1718516129,click
842,63,1709018872,purchase
577,137,1714151049,click
712,90,1712640751,click
247,139,1707633147,click
982,221,1713025724,click
3,209,1710758441,purchase
265,390,1708670222,click
673,103,1717505259,click
683,121,1707056285,click
221,198,1707241717,click
501,466,1718735940,click
872,92,1716761512,click
577,496,1707207392,click
559,450,1704850014,click
744,377,1704953467,click
157,201,1711121498,purchase
730,357,1712237690,purchase
275,280,1705684577,click
733,134,1720528205,purchase
387,408,1710981286,click
552,233,1716604336,purchase
905,313,1708686896,click
487,472,1720203521,click
578,341,1720794716,click
587,46,1709986599,click
540,135,1715320962,click
605,440,1717182394,click
317,39,1708321137,click
328,487,1719867667,click
701,256,1710755982,click
938,37,1706008487,click
564,376,1705360677,click
47,173,1711733481,click
497,238,1704087917,click
641,198,1719445658,click
814,46,1717088361,purchase
236,467,1710151294,click
293,159,1707688418,click
521,100,1716322769,purchase
424,495,1713918286,click
71,390,1719835737,click
859,405,1710068489,click
703,269,1704836141,click
814,34,1719443453,click
975,76,1707778648,click
828,334,1704405342,purchase
920,374,1712292829,click
2,46,1705095919,click
452,250,1720171940,click
286,444,1717532347,purchase
866,136,1708820504,purchase
765,150,1712252902,click
851,39,1707956992,purchase
771,227,1707620349,click
433,355,1706179008,purchase
358,127,1714896881,click
884,331,1711064381,click
651,215,1708512037,click
678,405,1712460353,click
230,100,1719182508,click
823,360,1720621670,click
485,221,1707435881,purchase
408,280,1719868714,click
185,437,1713450732,click
910,250,1711415352,click
84,404,1715201662,click
70,15,1720912910,click
120,243,1705110108,click
353,399,1720806877,click
758,107,1707025708,click
938,472,1709266251,click
500,469,1705840770,click
961,273,1720929792,click
18,303,1708319705,click
429,68,1717778579,click
228,476,1705024585,click
469,267,1720011567,click
818,474,1714658601,click
495,138,1714298095,click
698,144,1714147627,click
818,53,1710760511,click
842,364,1705658513,click
860,291,1709803428,click
644,56,1707322656,click
236,204,1720691148,click
472,10,1711424406,click
64,491,1712001949,purchase
760,2,1720458251,click
533,439,1720986010,purchase
481,484,1706861060,click
893,47,1710931154,click
67,411,1713831613,click
601,205,1708503120,click
799,121,1718568706,purchase
784,475,1710250824,click
186,342,1717932505,click
337,138,1715337168,click
202,479,1714040577,click
605,215,1718238719,click
658,308,1707096155,click
26,362,1707274752,click
989,91,1708859027,click
146,404,1718811741,purchase
560,329,1714486195,purchase
435,351,1705948092,click
387,327,1711969468,purchase
532,25,1714761206,purchase
364,48,1709801781,click
395,371,1705020124,click
726,274,1706736125,click
753,297,1708342885,purchase
835,159,1721352540,click
977,54,1720024612,click
139,140,1706534131,purchase
155,405,1717586847,click
446,431,1717998101,click
880,385,1717305782,click
628,498,1717628214,purchase
485,65,1709695497,click
865,143,1706279486,click
550,258,1718876006,click
129,236,1713999679,purchase
854,198,1708447747,click
91,367,1714297466,click
648,142,1710106614,click
834,269,1720821276,click
293,396,1708395691,click
438,234,1715533302,click
324,95,1709488123,click
388,239,1705832955,purchase
16,139,1706244038,click
123,455,1717085069,click
731,400,1708691947,click
623,215,1716049599,click
309,400,1714490294,click
772,245,1716426070,purchase
440,51,1712659789,click
943,372,1715076253,click
276,134,1711960888,purchase
924,430,1710915034,click
876,204,1716630383,click
229,330,1717168892,click
786,142,1710362215,purchase
506,459,1709326875,purchase
723,236,1710862133,purchase
600,140,1716342016,click
423,242,1709679386,click
486,14,1714121327,click
351,498,1705484123,click
102,296,1717718980,click
816,99,1717308179,click
509,84,1719847155,click
831,429,1710267330,click
233,199,1718173582,click
552,131,1704112470,purchase
303,451,1719906528,click
838,448,1708811057,click
994,378,1713275421,click
608,478,1720455289,click
